Keyword,Score
스포,7.03291216586196
임영웅,6.678460996550433
목소리,4.858467609224221
가족,4.83117819807265
가수,4.502584280712799
무대,4.4724200543906765
감동,4.443840641905322
떡국,4.379561470168347
여러분,4.133630243461974
커피,3.727325047129942
느낌,3.5438456161205876
지유,3.5341102245437463
지노,3.5045824028543997
대박,3.498640594807964
국물,3.3783063235476716
대해,3.368409094223022
선물,3.324194364748493
제일,3.2727325381468244
크리스마스,3.234881448487457
여행,3.219070198284235
대한민국,3.0977311194810233
오늘,2.8991582764345414
우리,2.884457433985184
모습,2.8036688619522896
동태,2.792499204156319
기억,2.727161521279355
먹방,2.6823930799196054
여자,2.6794920992096154
수지,2.678574088315702
배우,2.669620517265641
역시,2.56600840791321
시작,2.5613942360281823
다른,2.537783870516228
위해,2.529195315908587
황희,2.5182843735620395
음식,2.5131023314954484
여기,2.5043663653783703
년도,2.502233559714388
연기,2.496421178637225
가격,2.4652244340792984
하나,2.421381813300307
친구,2.417058227015123
고생,2.4025172946981064
이제,2.3749134111458097
송중기,2.3719341209008724
역술,2.3387652434880666
실력,2.3281792575192632
언니,2.327746174003103
문제,2.3114250868273056
그냥,2.2780383377031077
이번,2.277266728205679
연말,2.2494527240379254
튀김,2.2229186518077992
요리,2.2192688991651397
눈물,2.1932467965942912
옛날,2.188274869028233
자연인,2.170992826274342
발송,2.143310761255891
완전,2.12312511217735
모두,2.1139586605187426
결혼,2.0754714195720525
어머니,2.074054761028181
한번,2.0729267356149395
알바,2.0725492211390097
수빈,2.0651061046922834
식사,2.058488718435826
아들,2.041404634160505
머신,2.033086389343605
요즘,2.008527732381711
성격,1.9997360301786726
주사파,1.9990201729328154
소리,1.9988531035314345
어제,1.9898066864854829
한형,1.9815696771643039
엄마,1.9760170268608863
보기,1.9122728043617532
상황,1.9073642142277099
브이,1.8864123049843966
예전,1.883981343159729
이벤트,1.8130082963468794
전부,1.8016677451572427
강호,1.798526488118985
재미,1.785710597200631
채널,1.7686501615529493
영화,1.7276271827115512
규남,1.7230855601555153
아이,1.7168059962961983
시즌,1.7031276958313206
기회,1.6888282928254736
언제,1.6420067744597147
얼굴,1.6353993347910358
부분,1.5947697309079456
그릇,1.557776831201894
일상,1.4136440898174987
서로,1.380037052486807
보고타,1.35539092622907
포츠,1.2
동안,1.2
떡볶이,1.2
내내,1.2
매일,1.2
콘서트,1.2
박효신,1.2
올해,1.2
남자,1.2
제로,1.2
해도,1.2
제대로,1.2
부정선거,1.2
처럼,1.2
집밥,1.2
리사이틀,1.2
로그,1.2
레시피,1.2
만난,1.2
무조건,1.2
때문,1.2
현빈,1.2
가슴,1.2
더미,1.2
정보,1.2
정도,1.2
한해,1.2
중식,1.2
덕분,1.2
솔랭,0.8999999999999999
인생,0.8999999999999999
순간,0.8999999999999999
기도,0.8999999999999999
상태,0.8999999999999999
조카,0.8999999999999999
보시,0.8999999999999999
팬암,0.8999999999999999
바로,0.8999999999999999
연예인,0.8999999999999999
유준,0.8999999999999999
캡슐,0.8999999999999999
광규,0.8999999999999999
메리,0.8999999999999999
칭찬,0.8999999999999999
펩시,0.8999999999999999
끼리,0.8999999999999999
형부,0.8999999999999999
벌써,0.8999999999999999
계속,0.8999999999999999
직전,0.8999999999999999
욕심,0.8999999999999999
대본,0.8999999999999999
다행,0.8999999999999999
배송,0.8999999999999999
혹시,0.8999999999999999
지단,0.8999999999999999
내일,0.8999999999999999
나라,0.8999999999999999
자기,0.8999999999999999
추천,0.8999999999999999
아침,0.8999999999999999
후회,0.8999999999999999
식구,0.8999999999999999
산화,0.8999999999999999
일부러,0.8999999999999999
연출,0.8999999999999999
계란,0.8999999999999999
순산,0.8999999999999999
알고리즘,0.8999999999999999
아빠,0.8999999999999999
거기,0.8999999999999999
어디,0.8999999999999999
소식,0.8999999999999999
나래,0.8999999999999999
걱정,0.8999999999999999
부디,0.8999999999999999
페미,0.8999999999999999
환상,0.8999999999999999
이상,0.8999999999999999
김원효,0.8999999999999999
조사,0.8999999999999999
오른쪽,0.8999999999999999
카누,0.8999999999999999
코타,0.8999999999999999
다음,0.8999999999999999
구독,0.8999999999999999
작품,0.8999999999999999
인간,0.8999999999999999
판매,0.8999999999999999
순이,0.8999999999999999
중간,0.8999999999999999
공연,0.8999999999999999
장도연,0.8999999999999999
관상,0.8999999999999999
세계,0.8999999999999999
세얼간이,0.8999999999999999
애정,0.8999999999999999
스타,0.8999999999999999
자신,0.8999999999999999
육아,0.8999999999999999
이야기,0.8999999999999999
부부,0.8999999999999999
구매,0.8999999999999999
왼쪽,0.8999999999999999
매번,0.8999999999999999
위로,0.8999999999999999
성심당,0.8999999999999999
홍보,0.8999999999999999
카레,0.8999999999999999
겨울,0.8999999999999999
미칀,0.8999999999999999
여유,0.8999999999999999
손흥민,0.8999999999999999
유재석,0.8999999999999999
누나,0.8999999999999999
카리나,0.6
메스,0.6
상처,0.6
롤랜드,0.6
가비,0.6
최초,0.6
데이트,0.6
놀란,0.6
유티브,0.6
대회,0.6
눈빛,0.6
별로,0.6
소년,0.6
고척돔,0.6
사기,0.6
혜주,0.6
촬영,0.6
시절,0.6
부추,0.6
안전,0.6
음색,0.6
아버지,0.6
