Keyword,Count
진짜,34
새해,26
마음,21
노래,21
임영웅,20
스포,19
정말,18
응원,16
방송,15
항상,14
축하,14
사람,14
처음,13
준비,13
최고,12
목소리,12
보고,12
생각,12
사랑,12
가족,12
