Keyword,Score
br,21.090232191782505
진짜,10.040324963799655
너무,7.0944917648754515
https,4.466741191427256
많이,4.4123191077489805
com,4.189519625588937
amp,4.177626882780923
href,4.062599772551278
https www,4.028233593286821
www,4.028233593286821
href https,3.7283727594415255
watch,3.5086986414565917
www youtube,3.288168545811568
youtube,3.288168545811568
youtube com,3.288168545811568
com watch,3.2570406051421026
instagram,0.9013557530699987
instagram com,0.9013557530699987
www instagram,0.9013557530699987
임영웅,0.7556943735164928
